lng	lat	fecha	evento	domicilio
-62.263862	-38.74086	2007/05/28 07:59:00	0	CAP BRICKMAN esq. RIO NEGRO
-62.268006	-38.701123	2007/05/28 08:03:00	4	12 DE OCTUBRE 1100 BUFET EN EL 0
-62.265883	-38.714206	2007/05/28 08:27:00	3	MITRE 0
-62.285855	-38.701826	2007/05/28 10:08:00	3	1 DE MARZO 0
-62.237918	-38.734465	2007/05/28 10:07:00	11	JUAN BAUTISTA ALBERDI 2100
-62.284592	-38.707648	2007/05/28 10:13:00	6	VIEYTES esq. BRASIL
-62.284592	-38.707648	2007/05/28 10:14:00	6	BRASIL esq. VIEYTES
-62.294903	-38.723175	2007/05/28 10:23:00	0	CNEL CHARLONE esq. LIBANO
-62.281631	-38.72186	2007/05/28 10:37:00	3	ALMAFUERTE 3000
-62.258334	-38.731026	2007/05/28 11:25:00	0	BERUTI 9000
-62.31969	-38.717268	2007/05/28 12:13:00	5	GRAL PABLO RICCHIERI 2400
-62.279484	-38.718417	2007/05/28 12:39:00	6	TERRADA 3000
-62.233605	-38.7396	2007/05/28 12:57:00	3	RIVADAVIA 2700
-62.285988	-38.74519	2007/05/28 13:00:00	3	PUEYRREDON 2400
-62.311421	-38.719692	2007/05/28 14:40:00	3	17 DE MAYO 1800
-62.245475	-38.772233	2007/05/28 15:23:00	1	JORGE E CANNING esq. GRAL NICOLAS LEVALLE
-62.284559	-38.729195	2007/05/28 16:23:00	3	RONDEAU 1200
-62.28938	-38.733091	2007/05/28 16:24:00	3	RONDEAU 1800
-62.236687	-38.734406	2007/05/28 16:27:00	3	MARIANO NECOCHEA 3000
-62.318777	-38.719283	2007/05/28 16:41:00	3	SGTO MAYOR ITURRA 2100
-62.276093	-38.773227	2007/05/28 16:47:00	10	ESMERALDA 3600
-62.248235	-38.758822	2007/05/28 16:49:00	0	TARIJA esq. CNEL NICOLAS GRANADA
-62.259431	-38.737267	2007/05/28 16:58:00	10	RIO NEGRO 6000
-62.268986	-38.783422	2007/05/28 17:16:00	0	JOSE AVENENTE esq. GRAL MANUEL BELGRANO
-62.237918	-38.734465	2007/05/28 17:42:00	9	JUAN BAUTISTA ALBERDI 2100
-62.281881	-38.716618	2007/05/28 17:48:00	0	TERRADA esq. JUAN MOLINA
-62.1965	-38.721908	2007/05/28 18:22:00	3	JUAN ANTONIO ARGERICH 3300
-62.285988	-38.74519	2007/05/28 18:30:00	3	PUEYRREDON 2400
-62.256431	-38.718774	2007/05/28 19:04:00	3	GRAL PAZ 3000
-62.271564	-38.755806	2007/05/28 19:38:00	3	HONDURAS 2400
-62.285424	-38.72475	2007/05/28 19:42:00	3	BLANDENGUES 9000
-62.280992	-38.747889	2007/05/28 20:10:00	10	PEDRO PICO 2400
-62.222783	-38.733246	2007/05/28 20:31:00	0	SEN MANUEL LAINEZ 2700
-62.312981	-38.719403	2007/05/28 20:50:00	10	RIO ATUEL 0
-62.27286	-38.752203	2007/05/28 20:53:00	10	GRAL TOMAS GUIDO esq. JUANA AZURDUY
-62.263795	-38.720243	2007/05/28 21:01:00	3	CHICLANA 0
-62.239747	-38.713351	2007/05/28 21:02:00	10	RUFINO ROJAS 9000
-62.282306	-38.748974	2007/05/28 21:00:00	10	PEDRO PICO 2400
-62.217642	-38.731263	2007/05/28 21:05:00	10	JUAN BAUTISTA BAIGORRIA 3000
-62.296556	-38.741439	2007/05/28 21:08:00	10	CACIQUE RAMON PLATERO 0
-62.282631	-38.749226	2007/05/28 21:10:00	10	PEDRO PICO 2400
-62.264382	-38.740466	2007/05/28 21:12:00	10	CAP BRICKMAN 1200
-62.277811	-38.698077	2007/05/28 21:19:00	3	PANAMA 1500
-62.275586	-38.707764	2007/05/28 21:30:00	3	PERU 0
-62.253348	-38.722061	2007/05/28 21:37:00	3	AVDA PARCHAPP 6000
-62.2752	-38.740265	2007/05/28 21:40:00	10	TIERRA DEL FUEGO 6000
-62.285699	-38.733584	2007/05/28 21:54:00	9	AVDA COLON 1500
-62.283939	-38.695586	2007/05/28 22:37:00	3	DR NARCISO MALLEA 3000
-62.309418	-38.715492	2007/05/28 22:59:00	3	JUJUY 2100
-62.281642	-38.747856	2007/05/28 23:10:00	10	MARTINA CESPEDES 9000
-62.29792	-38.733018	2007/05/29 00:44:00	12	PATRICIOS 2100
-62.264681	-38.750437	2007/05/29 01:08:00	3	EMILIO ROSAS esq. HONDURAS
-62.256086	-38.729208	2007/05/29 02:34:00	0	MISIONES esq. BROWN
-62.213882	-38.681289	2007/05/29 04:19:00	3	RAMON esq. CAJAL 4950
-62.277811	-38.698077	2007/05/29 07:14:00	3	PANAMA 1500
-62.261126	-38.786368	2007/05/29 07:56:00	12	BOU DR JUAN B JUSTO 3600
-62.262098	-38.733471	2007/05/29 08:29:00	3	ITALIA 9000
-62.287341	-38.717438	2007/05/29 08:43:00	3	ALMAFUERTE 9000
-62.276383	-38.771554	2007/05/29 08:47:00	10	LAUTARO 2400
-62.237918	-38.734465	2007/05/29 09:43:00	11	JUAN BAUTISTA ALBERDI 2100
-62.271564	-38.755806	2007/05/29 10:37:00	3	HONDURAS 2400
-62.31317	-38.719257	2007/05/29 10:48:00	1	RIO ATUEL 1500
-62.297083	-38.69537	2007/05/29 10:59:00	11	SGTO FABIAN GONZALEZ 0
-62.251907	-38.711928	2007/05/29 11:59:00	0	RINCON esq. RAMON
-62.212564	-38.739865	2007/05/29 12:38:00	3	HUMBOLDT 3600
-62.289207	-38.734248	2007/05/29 13:04:00	9	CHACO 0
-62.251964	-38.75745	2007/05/29 13:27:00	3	TIERRA DEL FUEGO 2700
-62.262998	-38.716575	2007/05/29 14:19:00	3	SOLER 0
-62.262998	-38.716575	2007/05/29 14:24:00	3	SOLER 0
-62.299469	-38.717987	2007/05/29 14:36:00	8	DON BOSCO 1500
-62.248735	-38.705122	2007/05/29 14:47:00	14	VALENTIN ALSINA esq. GUILLERMO RAWSON
-62.273248	-38.706086	2007/05/29 15:35:00	3	PERU 328 DTO 0
-62.264427	-38.718109	2007/05/29 15:59:00	3	VALENTIN ALSINA 0
-62.288663	-38.716446	2007/05/29 16:10:00	3	MENDOZA esq. ALMAFUERTE
-62.290697	-38.736143	2007/05/29 16:27:00	3	MORENO 2100
-62.409726	-38.703949	2007/05/29 16:36:00	3	MAYOR CLERICE 1200
-62.287392	-38.719109	2007/05/29 17:27:00	3	DR SIXTO LASPIUR 9000
-62.267452	-38.757232	2007/05/29 17:38:00	3	TARAPACA 2100
-62.26079	-38.757046	2007/05/29 17:40:00	6	MAESTRO PICCIOLI esq. GRAL ARIAS
-62.267452	-38.757232	2007/05/29 17:44:00	3	TARAPACA 2100
-62.26079	-38.757046	2007/05/29 17:54:00	3	GRAL ARIAS esq. MAESTRO PICCIOLI
-62.238428	-38.737557	2007/05/29 17:56:00	9	CASEROS 2400
-62.248539	-38.718768	2007/05/29 18:05:00	9	BALBOA 6000
-62.281239	-38.708739	2007/05/29 19:17:00	6	VICENTE LOPEZ esq. ENTRE RIOS
-62.26847	-38.723306	2007/05/29 19:51:00	11	BERUTI esq. DONADO
-62.298471	-38.718746	2007/05/29 19:59:00	0	BRASIL esq. DON BOSCO
-62.289369	-38.675417	2007/05/29 20:05:00	3	ANTONIO LATTANZIO 1200
-62.271099	-38.718534	2007/05/29 20:42:00	2	RONDEAU 0
-62.268535	-38.719797	2007/05/29 20:45:00	0	AVDA COLON esq. VIEYTES
-62.252609	-38.738966	2007/05/29 21:01:00	6	MEJICO esq. THOMPSON
-62.25685	-38.721612	2007/05/29 21:11:00	3	SOLER 6000
-62.26143	-38.707117	2007/05/29 21:14:00	3	11 DE ABRIL 6000
-62.307671	-38.720896	2007/05/29 23:05:00	3	CNEL MALDONADO 1800
-62.229367	-38.745269	2007/05/29 23:33:00	3	PATAGONES 0
-62.24526	-38.741213	2007/05/30 00:21:00	3	1810 3000
-62.177046	-38.754268	2007/05/30 00:30:00	3	EDUARDO SCHIAFFINO 1200
-62.262912	-38.723929	2007/05/30 00:59:00	10	VILLARINO 0
-62.300351	-38.705566	2007/05/30 02:27:00	3	CARLOS DI SARLI 6000
-62.280619	-38.704476	2007/05/30 08:07:00	0	ALEJANDRO AGUADO esq. ZELARRAYAN
-62.253322	-38.729605	2007/05/30 08:29:00	0	AVDA PARCHAPP esq. AVDA FALUCHO
-62.291291	-38.702446	2007/05/30 08:42:00	0	VIEYTES esq. 17 DE MAYO
-62.246955	-38.71315	2007/05/30 09:24:00	0	HUMBOLDT esq. CHARCAS
-62.189362	-38.714317	2007/05/30 09:30:00	5	SALINAS CHICAS 3900
-62.264427	-38.718109	2007/05/30 09:45:00	3	VALENTIN ALSINA 0
-62.253347	-38.712091	2007/05/30 10:13:00	3	3 DE FEBRERO 3000
