lng	lat	fecha	evento	domicilio
-62.282972	-38.688228	2009/01/01 00:07:00	3	ING CESAR CIPOLLETTI 600
-62.302442	-38.715898	2009/01/01 00:53:00	2	DON BOSCO 180
-62.180262	-38.749698	2009/01/01 01:10:00	3	LA PAMPA 540
-62.270342	-38.702558	2009/01/01 02:32:00	0	AVDA ALEM esq. SAN JUAN
-62.292642	-38.733218	2009/01/01 03:02:00	3	SANTA CRUZ 300
-62.192592	-38.721108	2009/01/01 03:25:00	3	JUAN DEL FRESNO 360
-62.257022	-38.708868	2009/01/01 04:10:00	6	SARMIENTO 900
-62.190652	-38.690138	2009/01/01 06:05:00	3	MATHEU 540
-62.265072	-38.724028	2009/01/01 06:50:00	0	SAAVEDRA esq. ESPAÑA
-62.287942	-38.733928	2009/01/01 07:03:00	3	MORENO 180
-62.232672	-38.684318	2009/01/01 07:41:00	3	FRAGATA SARMIENTO 300
-62.270342	-38.702558	2009/01/01 08:06:00	6	AVDA ALEM esq. SAN JUAN
-62.397702	-38.717858	2009/01/01 09:56:00	3	JUAN JOSE PASSO 
-62.279822	-38.687928	2009/01/01 11:17:00	0	WITCOMB esq. AGRON DE ANGELIS
-62.296702	-38.725708	2009/01/01 11:47:00	3	CHANCAY 150
-62.311422	-38.704718	2009/01/01 12:09:00	3	LUIS JOSE DANIEL HARRINGTON 270
-62.268902	-38.746558	2009/01/01 12:13:00	1	CHUBUT 150
-62.267982	-38.684968	2009/01/01 12:15:00	3	ROBERTO J PAYRO 180
-62.281832	-38.728998	2009/01/01 12:36:00	1	MORENO 120
-62.301902	-38.733548	2009/01/01 13:46:00	3	BELISARIO ROLDAN 240
-62.296002	-38.724068	2009/01/01 14:11:00	11	CNEL CHARLONE 150
-62.267512	-38.747318	2009/01/01 14:36:00	3	LUIS PIEDRA BUENA 150
-62.259762	-38.719198	2009/01/01 14:44:00	3	SOLER 300
-62.319722	-38.718008	2009/01/01 16:13:00	3	POLIDORO COULIN 210
-62.278282	-38.712028	2009/01/01 18:12:00	19	BRAVARD 
-62.300492	-38.704388	2009/01/01 18:20:00	3	PABLO ACOSTA 600
