lng	lat	fecha	evento	domicilio
-62.238	-38.74548	2016/01/03 10:23:38	3	LA PINTA 
-62.27126	-38.77542	2016/01/03 10:51:34	15	LAUTARO esq. JAMES HARRIS
-62.39077	-38.72372	2016/01/03 12:07:12	3	ALVAREZ JONTE 300
-62.27682	-38.68591	2016/01/03 13:18:22	3	AGRON DE ANGELIS 900
-62.28714	-38.71424	2016/01/03 13:23:11	3	TUCUMAN 900
-62.2925	-38.68265	2016/01/03 14:08:15	3	AVDA ALEM 330
-62.25337	-38.72298	2016/01/03 14:22:12	3	AVDA PARCHAPE 900
-62.26593	-38.70504	2016/01/03 15:09:58	3	SALTA 300
-62.30585	-38.70319	2016/01/03 15:33:21	3	ALMAFUERTE 270
-62.29005	-38.72319	2016/01/03 17:34:47	3	JUAN MOLINA 120
-62.2603	-38.71459	2016/01/03 17:42:48	3	AVDA ALEM 
-62.2427	-38.72924	2016/01/03 18:59:38	0	CASTELAR esq. REMEDIOS DE ESCALADA DE SAN MARTIN
-62.28734	-38.71744	2016/01/03 19:40:31	3	ALMAFUERTE 900
-62.21706	-38.72541	2016/01/03 19:46:28	1	MISIONEROS 210
-62.30494	-38.72734	2016/01/03 20:47:25	0	ENTRE RIOS esq. PACIFICO
-62.28262	-38.73808	2016/01/03 20:53:12	3	ESPAÑA 180
-62.39728	-38.71821	2016/01/03 21:02:06	6	ALBERTI esq. JUAN JOSE PASSO
-62.26929	-38.71532	2016/01/03 22:43:47	3	19 DE MAYO 
-62.26341	-38.7035	2016/01/03 23:57:54	3	AVDA GRAL URQUIZA 600
-62.26877	-38.78311	2016/01/04 02:02:34	3	JOSE AVENENTE 360
-62.25941	-38.72112	2016/01/04 02:10:00	0	GRAL PAZ 
-62.26101	-38.71706	2016/01/04 03:31:26	3	BELGRANO 
-62.30902	-38.72415	2016/01/04 04:18:24	3	PACIFICO 150
-62.26865	-38.71653	2016/01/04 05:55:55	0	CORONEL MARTINIANO RODRIGUEZ esq. ESTOMBA
-62.23402	-38.72728	2016/01/04 05:58:57	3	CNEL ROSALES 900
-62.27042	-38.78194	2016/01/04 06:15:03	3	JUAN KNOUT 360
-62.26064	-38.77655	2016/01/04 06:26:59	3	DANIEL DE SOLIER 330
-62.26953	-38.71585	2016/01/04 07:43:58	6	ESTOMBA 
